v110	v90	v70	v50	v20
-19.14	32.71	2.38	0.36	0.02
-17.63	29.30	2.84	-0.16	0.06
-17.76	24.92	2.40	0.67	-0.38
-14.32	20.65	1.39	-0.35	0.28
-16.13	17.08	2.46	1.05	0.78
-16.12	14.78	3.90	1.90	-0.27
-17.42	12.50	4.03	1.94	-0.45
-22.28	9.69	4.35	1.61	-0.39
-23.53	4.51	4.68	2.59	-0.04
-24.67	-1.56	4.88	2.85	-0.54
-26.98	-5.45	4.17	3.01	-0.42
-28.12	-5.51	3.24	2.16	-0.39
-26.59	-7.36	3.84	1.07	-0.66
-19.08	-11.43	5.06	1.47	-0.70
-16.84	-13.73	6.35	1.74	0.14
-16.45	-14.61	6.63	2.25	0.46
-22.75	-19.53	6.64	2.59	-0.32
-27.49	-24.02	6.19	2.77	-0.38
-21.26	-25.95	6.27	2.33	-0.12
-16.93	-26.06	7.03	1.98	-0.15
-19.38	-26.36	7.23	1.62	-0.24
-22.62	-25.89	8.03	2.09	0.65
-27.16	-26.49	8.70	2.83	0.58
-22.28	-28.52	8.94	2.11	-0.17
-19.79	-27.82	9.93	2.20	-0.71
-19.55	-28.03	9.43	1.95	0.66
-25.81	-28.87	9.41	1.15	-0.12
-26.42	-28.87	9.06	0.68	0.07
-27.47	-29.35	9.14	1.50	0.62
-25.28	-31.81	9.20	1.72	0.63
-28.88	-32.82	9.40	0.72	1.09
-24.92	-30.30	9.75	0.50	1.44
-19.67	-28.17	10.97	0.57	0.59
-21.73	-24.09	10.78	1.07	0.51
-26.85	-21.84	10.71	0.43	0.19
-26.61	-11.22	10.47	-0.26	1.58
-25.76	-9.57	11.54	0.20	0.39
-30.68	-8.67	13.06	-0.27	0.63
-24.67	-8.47	13.48	-0.66	1.27
-19.12	-7.82	12.94	-0.72	1.22
-21.24	-7.07	12.64	-1.39	1.28
-23.18	-6.06	12.81	-1.68	1.13
-16.51	-6.03	11.84	-1.83	2.06
-18.86	-5.93	12.24	-2.14	1.85
-24.86	-5.51	13.66	-2.16	2.06
-25.91	-5.06	14.98	-1.71	1.57
-18.16	-4.77	14.57	-1.49	1.43
-10.66	-5.05	14.35	-1.69	1.66
-6.45	-5.24	13.92	-2.15	1.06
-8.49	-5.28	14.10	-3.09	0.78
-15.83	-3.86	12.20	-3.58	1.73
-16.74	-2.19	11.49	-3.04	1.87
-16.57	-1.00	11.69	-3.36	1.62
-14.27	1.97	12.43	-3.84	2.18
-10.64	3.95	12.40	-4.55	2.50
-8.86	2.40	13.17	-4.50	2.26
-5.05	1.64	12.62	-4.52	2.90
-5.17	1.82	11.43	-4.10	1.44
-3.67	4.16	11.66	-4.58	1.66
-3.36	8.05	10.82	-4.84	2.14
-8.72	10.62	10.35	-5.50	1.81
-4.50	9.60	11.12	-5.46	1.67
-1.61	7.28	13.62	-5.56	2.73
3.19	9.18	14.18	-5.81	2.45
3.47	16.98	13.54	-6.13	2.42
2.13	17.95	14.46	-5.76	2.13
-0.06	17.60	17.32	-6.18	1.78
0.65	15.30	18.08	-6.65	1.00
1.95	18.24	17.13	-7.32	2.64
-0.46	20.86	16.11	-7.49	3.09
1.30	22.85	15.99	-7.93	3.73
0.48	21.55	15.77	-8.12	3.44
5.27	18.01	18.13	-8.24	2.64
6.54	16.20	17.60	-8.17	2.05
3.29	19.93	22.01	-8.13	1.19
2.89	23.21	24.28	-8.89	1.66
5.83	24.74	26.88	-9.54	1.46
9.99	24.57	23.77	-10.15	2.61
6.43	23.10	22.16	-10.12	3.00
2.61	23.58	21.74	-10.10	2.88
3.18	23.04	22.26	-10.11	2.36
11.29	21.75	24.38	-10.07	1.50
13.20	21.53	26.89	-9.82	1.27
12.74	21.18	24.50	-9.78	0.65
13.35	25.18	24.84	-9.91	2.48
7.18	25.33	25.88	-10.05	3.32
9.74	23.13	27.61	-10.56	2.11
13.49	20.09	26.34	-11.46	1.55
13.07	20.79	29.49	-12.33	1.08
15.35	23.53	28.81	-12.27	0.39
14.99	20.33	32.54	-12.32	1.08
13.36	19.15	27.05	-8.97	1.61
11.49	17.26	28.19	-7.42	1.89
11.01	15.36	29.64	-7.16	2.54
12.21	14.98	29.78	-7.61	2.23
12.13	14.77	32.22	-8.34	2.27
16.50	19.40	27.62	-8.15	1.27
16.23	18.89	25.04	-7.19	0.29
16.03	15.39	25.65	-7.19	0.91
18.44	10.82	30.14	-7.55	0.38
15.33	8.72	31.25	-8.06	0.78
16.04	5.88	31.23	-9.35	2.62
22.62	5.48	31.03	-9.87	2.02
24.83	6.14	33.63	-10.82	1.93
23.95	6.59	32.03	-10.37	0.84
20.92	4.53	32.86	-10.25	-0.01
21.49	2.88	30.44	-9.48	1.27
25.45	0.68	29.06	-8.83	2.56
28.03	-1.19	32.66	-9.69	1.74
30.01	-2.33	29.97	-9.81	1.24
27.63	-3.97	27.88	-10.12	1.73
24.04	-5.40	27.82	-10.37	0.47
22.96	-8.13	28.38	-10.76	0.40
23.88	-9.60	32.57	-10.33	0.08
32.23	-12.25	29.81	-10.96	2.81
37.02	-11.54	29.83	-12.14	0.99
35.61	-9.37	23.42	-13.03	1.35
32.47	-10.04	28.86	-10.44	0.45
26.45	-10.95	24.42	-9.37	0.40
26.05	-17.43	30.88	-10.46	1.58
31.17	-21.12	30.16	-11.98	1.59
34.74	-20.19	31.63	-11.33	-0.01
35.16	-17.70	29.64	-10.79	0.70
29.79	-17.75	25.45	-10.52	0.57
26.74	-16.78	23.76	-10.78	2.41
29.69	-17.64	26.50	-10.60	1.85
37.58	-19.23	29.76	-10.57	1.03
39.18	-22.32	21.89	-9.49	0.26
37.06	-24.40	23.43	-7.45	1.78
32.41	-24.70	30.51	-8.42	1.26
34.27	-23.57	32.89	-11.07	0.56
38.50	-24.26	32.46	-11.00	1.21
40.67	-27.29	23.21	-9.60	1.40
24.76	-29.04	16.77	-8.55	0.17
12.57	-27.40	15.21	-7.89	0.29
10.38	-26.97	20.11	-8.48	0.29
12.85	-28.64	24.74	-10.12	0.73
15.25	-31.25	32.21	-10.48	2.32
16.47	-30.69	27.23	-11.49	0.95
14.70	-26.01	22.41	-10.26	1.31
13.15	-21.82	15.59	-7.22	1.65
12.54	-22.17	16.88	-6.28	0.08
13.11	-24.21	15.64	-5.09	-0.05
12.74	-24.28	18.26	-5.92	0.84
14.18	-23.34	22.60	-7.98	0.33
15.22	-23.42	23.93	-11.01	-0.41
16.96	-25.66	22.44	-10.11	0.64
17.40	-23.88	7.04	-8.08	-1.07
12.71	-20.70	-54.60	-4.36	-0.14
10.57	-20.91	-142.75	-3.21	-0.74
11.61	-18.09	-193.41	-5.51	1.23
13.28	-10.61	-181.65	-5.64	1.63
14.99	-4.63	-160.48	-5.40	1.23
15.39	-4.05	-108.37	-7.49	0.73
17.38	-3.91	-82.92	-6.87	0.36
16.78	-4.11	-100.81	-5.61	-0.42
16.95	-4.79	-125.71	-4.82	0.95
19.79	-4.39	-157.26	-3.64	0.01
25.61	-3.28	-171.62	-3.24	1.16
29.18	-2.35	-172.29	-3.18	1.15
27.09	-1.61	-159.15	-2.20	1.55
26.50	-1.10	-156.62	-1.82	0.31
29.03	-1.18	-147.10	-2.44	2.35
31.83	-2.68	-148.88	-3.42	2.42
33.29	-3.98	-156.47	-2.13	0.60
33.75	-4.43	-165.59	-0.95	-1.02
38.43	-3.64	-159.24	-0.55	-2.05
43.12	-2.76	-158.20	-2.04	0.56
47.06	-2.49	-151.41	-1.86	2.51
51.56	-3.42	-152.93	-2.34	2.48
50.24	-4.21	-154.41	-0.62	1.00
48.80	-4.13	-155.02	1.53	0.86
47.62	-2.56	-156.35	3.26	0.85
49.46	-2.50	-146.01	1.09	2.07
57.51	-2.76	-149.94	0.96	0.87
59.27	-3.71	-140.43	0.59	1.59
64.01	-5.07	-144.35	0.82	1.77
62.43	-5.91	-138.64	1.02	0.61
56.91	-5.21	-125.50	1.40	1.19
58.46	-4.34	-124.01	2.05	2.08
61.87	-4.74	-127.29	3.10	1.66
62.41	-4.78	-119.81	4.21	1.24
62.29	-4.77	-112.80	3.25	1.77
62.73	-3.57	-102.20	2.99	1.48
68.15	-4.63	-90.94	2.50	2.21
78.15	-5.30	-88.05	2.77	1.66
72.80	-5.55	-79.50	1.20	2.03
73.96	-6.97	-76.08	0.88	1.51
74.31	-9.20	-64.40	2.16	1.79
76.10	-11.86	-59.92	1.56	1.57
60.10	-13.78	-57.79	2.21	2.18
58.70	-11.54	-49.41	2.65	2.45
72.42	-10.45	-35.41	2.79	2.94
103.45	-10.14	-22.77	2.86	1.70
73.24	-10.17	-13.43	2.15	1.79
67.83	-12.53	-13.23	0.06	2.05
70.80	-16.02	-6.90	0.79	2.68
99.43	-17.75	-1.54	2.15	3.33
67.17	-19.24	9.92	1.15	1.93
98.87	-18.01	20.27	3.18	3.02
58.12	-19.04	27.36	2.93	2.88
61.92	-17.25	31.46	-0.05	1.87
58.55	-21.01	35.73	-1.15	0.22
64.47	-24.28	39.96	-1.20	1.41
54.68	-29.38	45.72	0.28	2.87
50.32	-33.56	52.11	0.68	5.26
57.13	-33.02	58.31	-0.18	2.61
53.62	-28.92	64.83	-1.80	1.80
52.96	-26.31	67.67	-2.06	2.17
91.41	-23.48	72.98	-1.59	1.57
91.72	-27.95	80.10	-0.12	0.61
90.70	-31.51	85.39	-0.36	3.60
-46.09	-34.44	86.98	-1.45	4.41
-240.29	-36.11	88.96	-1.58	2.69
-398.04	-35.03	91.10	-2.48	2.94
-362.11	-30.82	94.87	-1.00	2.03
-121.11	-27.29	100.00	-0.48	2.88
-5.54	-25.42	102.24	-4.02	2.83
-24.30	-29.21	102.28	-5.47	3.33
-112.79	-31.49	100.29	-4.85	3.97
-232.98	-33.53	99.14	-4.80	4.55
-305.22	-30.00	101.48	-3.03	2.25
-276.15	-26.03	99.38	-2.12	2.16
-202.40	-29.65	102.36	-2.64	2.85
-174.65	-32.85	105.00	-4.77	2.62
-210.75	-33.18	105.30	-5.89	2.13
-242.82	-29.85	102.91	-5.18	2.10
-264.88	-28.69	100.53	-4.75	4.01
-243.10	-27.49	100.47	-2.18	3.11
-213.13	-29.27	96.71	-0.21	3.58
-202.91	-29.40	93.84	-0.71	3.80
-211.86	-33.58	89.85	-5.06	3.31
-228.86	-29.71	83.28	-6.85	1.98
-248.56	-23.44	78.50	-7.45	1.11
-251.11	-21.11	72.63	-4.63	2.93
-238.10	-22.37	66.32	-2.50	2.95
-229.67	-22.70	61.96	0.48	2.68
-216.31	-27.97	53.35	-1.20	2.83
-220.49	-25.29	45.65	-3.80	2.98
-218.07	-19.07	39.92	-3.26	3.18
-213.45	-16.69	37.16	-2.46	1.81
-205.83	-20.23	34.71	-4.33	2.50
-193.36	-20.19	29.69	-2.85	2.13
-181.44	-22.43	28.24	0.05	0.72
-168.38	-22.62	25.87	1.31	0.74
-157.61	-20.58	24.91	-1.72	0.49
-157.74	-16.19	23.53	-3.19	3.09
-152.77	-15.40	19.79	-3.83	1.37
-142.30	-17.25	15.84	-4.42	2.36
-134.00	-22.27	11.69	-2.91	2.35
-121.47	-23.18	10.75	-0.08	-0.02
-107.31	-20.39	10.40	-1.86	-0.29
-97.36	-9.78	8.87	-2.29	0.23
-83.92	-8.88	7.17	-0.94	1.62
-71.43	-10.83	5.00	0.60	2.94
-61.66	-17.57	0.97	0.42	0.99
-57.24	-16.83	-0.43	-1.03	0.02
-45.57	-13.11	-1.25	-2.60	-1.24
-27.27	-9.42	-1.39	-0.95	-1.78
-17.79	-7.68	-3.76	0.98	-0.47
-4.46	-8.98	-7.08	2.84	0.57
10.04	-10.98	-7.72	2.74	3.01
19.95	-10.65	-6.09	1.15	1.18
33.63	-5.07	-7.54	-1.22	-0.38
44.59	0.20	-0.84	-1.28	-0.77
62.34	-1.00	4.76	0.18	-0.83
73.35	-6.79	4.18	1.26	-0.44
82.07	-11.71	2.81	2.32	0.05
86.27	-2.27	2.03	3.14	-0.52
94.08	0.17	1.39	2.15	-0.47
102.57	2.82	-0.04	1.81	1.42
115.79	0.06	-0.58	3.82	0.35
126.62	-1.21	0.04	3.80	0.15
130.78	0.75	1.12	3.66	0.54
134.79	-0.76	0.79	5.56	0.34
142.39	1.87	-0.46	5.59	0.31
148.39	4.71	-1.82	6.65	0.59
156.61	0.63	-2.67	5.49	1.16
166.59	-1.47	-3.07	2.49	-1.12
172.37	0.95	-3.02	2.76	-0.96
175.22	8.20	-2.71	5.84	0.58
177.66	6.29	-1.69	4.86	2.22
179.19	5.28	-1.84	5.06	4.73
180.97	4.54	-2.10	5.94	0.01
183.70	2.35	-2.92	4.37	0.31
186.37	4.43	-2.99	4.97	0.00
186.58	8.22	-3.54	5.40	2.32
186.58	13.47	-3.26	4.21	2.15
186.31	10.67	-4.33	3.37	1.57
185.44	2.22	-4.68	4.63	0.61
183.46	-5.59	-4.70	6.13	2.52
178.86	2.62	-4.93	5.86	2.33
169.16	9.21	-4.17	6.40	2.10
156.21	13.85	-3.36	5.99	0.15
147.02	15.05	-3.67	5.43	1.33
142.24	9.66	-4.51	3.86	1.70
138.05	6.50	-4.61	4.16	5.23
131.91	1.09	-4.83	5.56	2.05
125.47	5.27	-4.94	5.85	2.21
120.76	4.42	-3.75	4.18	2.49
116.19	10.33	-3.46	4.14	4.14
111.84	7.64	-2.90	2.72	1.34
108.17	4.83	-4.25	3.91	1.84
103.09	10.98	-3.60	0.06	2.50
99.56	13.56	-2.77	-0.83	5.01
94.67	10.46	-1.26	-0.99	4.47
89.67	5.01	0.47	-0.70	2.95
83.09	4.04	0.40	-0.69	2.79
77.07	7.77	-1.15	0.11	0.12
70.67	9.41	-4.73	0.71	-0.03
67.45	10.89	-5.21	1.63	-0.99
64.17	8.75	-0.73	1.62	-7.62
59.36	0.54	3.81	0.41	-12.62
55.16	7.68	5.61	0.04	-13.60
51.41	10.37	8.69	1.47	-11.92
46.98	8.40	10.97	1.65	-13.93
41.48	7.56	10.78	1.27	-16.03
32.16	7.53	11.58	0.18	-17.29
27.73	5.25	9.32	0.05	-20.46
20.24	1.86	10.67	0.85	-23.56
13.13	5.57	14.09	1.06	-28.06
9.38	7.64	14.50	2.43	-30.47
10.51	10.26	17.64	2.73	-33.02
4.10	3.89	16.61	1.59	-37.64
-1.39	4.98	16.72	0.65	-40.67
-6.82	5.40	18.01	-0.74	-37.08
-10.64	3.84	19.74	0.05	-33.75
-8.84	-1.48	18.45	0.69	-27.72
-9.37	0.57	14.51	0.29	-24.35
-15.84	6.85	13.74	0.81	-17.36
-22.57	5.61	18.76	1.01	-19.95
-25.73	0.79	23.51	2.64	-23.25
-27.92	-1.67	20.95	2.46	-22.57
-28.38	4.68	18.74	1.84	-21.63
-29.93	9.16	13.47	2.22	-21.89
-27.58	12.80	13.31	1.76	-23.30
-31.36	11.72	15.24	0.80	-26.27
-39.54	10.74	19.27	1.29	-26.60
-42.23	4.24	19.95	1.72	-31.05
-47.61	4.68	18.42	2.30	-30.11
-48.38	6.20	15.90	2.12	-28.57
-39.31	8.73	15.96	1.69	-35.52
-34.72	12.36	15.53	1.09	-34.67
-38.43	13.82	15.06	2.09	-35.09
-41.77	14.20	16.28	3.78	-34.58
-47.57	11.11	15.06	4.62	-31.65
-51.79	10.93	12.16	3.29	-31.95
-49.81	10.78	9.32	2.56	-34.27
-46.56	11.63	8.45	2.88	-36.21
-43.87	12.16	8.45	5.14	-36.59
-39.59	12.66	11.72	5.26	-34.62
-37.73	15.61	9.62	4.71	-35.08
-39.79	14.52	7.31	3.91	-33.12
-43.91	16.20	5.71	4.30	-33.89
-39.93	16.38	6.79	3.33	-33.02
-33.35	15.38	4.49	1.67	-32.26
-25.76	17.58	1.14	3.73	-31.28
-27.11	20.48	2.96	5.72	-30.85
-31.57	16.03	3.77	6.37	-26.79
-29.19	15.82	2.06	5.66	-23.63
-27.87	16.71	-1.51	5.10	-27.14
-30.81	18.61	-1.49	5.12	-28.46
-34.56	19.66	-1.78	3.49	-28.26
-23.28	21.55	0.13	2.51	-22.40
-20.16	21.74	-0.85	4.05	-18.60
-14.40	17.17	0.29	5.58	-15.78
-8.38	19.82	-3.95	6.31	-15.23
-7.04	20.43	-6.42	7.09	-16.97
-6.97	22.10	-5.61	6.37	-13.25
-8.19	24.01	-3.62	4.39	-10.62
-8.34	25.45	-3.96	4.06	-8.71
-0.17	24.23	-1.77	4.39	-8.62
1.12	21.79	-5.07	4.30	-8.69
4.53	6.23	-10.39	3.33	-8.58
4.69	6.86	-12.34	3.43	-5.92
7.22	8.21	-12.16	3.46	-0.47
8.41	9.29	-10.81	3.28	2.03
9.47	9.89	-6.84	3.28	-2.50
12.39	7.22	-4.22	3.08	-1.62
17.77	5.78	-6.64	3.74	1.55
17.80	5.07	-9.36	2.82	4.51
12.35	6.04	-9.80	3.14	9.31
14.66	7.38	-10.50	2.84	7.21
17.22	9.88	-9.23	2.47	6.37
19.79	10.68	-6.02	2.92	11.56
27.81	7.62	-5.30	2.31	13.49
31.43	7.02	-7.39	2.66	14.16
31.18	5.91	-10.14	2.55	15.48
26.05	6.71	-9.97	2.60	16.65
23.77	8.22	-8.30	2.75	15.40
26.80	8.93	-7.81	2.86	19.19
30.66	10.18	-9.16	3.04	18.75
32.55	10.61	-9.66	3.42	16.80
32.00	10.87	-9.09	3.05	15.84
29.63	11.77	-8.77	1.95	18.33
32.03	14.23	-6.67	2.32	23.57
34.13	16.14	-6.00	2.24	27.19
32.70	17.68	-3.79	2.38	22.87
28.23	15.86	-1.93	2.71	17.69
24.81	14.29	-4.02	2.59	17.35
24.95	15.38	-6.29	1.99	18.20
25.08	20.46	-4.35	2.18	21.48
26.76	25.62	-4.30	2.33	21.87
31.23	29.67	-5.01	2.36	24.13
28.80	30.77	-4.80	2.42	23.63
24.74	32.05	-3.58	2.42	21.40
17.32	33.67	-1.96	2.67	18.79
12.79	33.13	-0.38	3.17	20.01
13.70	32.98	-0.35	3.20	21.20
17.95	35.34	0.72	2.68	20.64
16.27	38.61	0.57	2.02	17.12
14.02	41.78	-0.96	2.17	14.87
9.63	40.45	0.61	1.84	16.44
5.29	37.67	2.42	2.28	16.64
-2.38	38.15	4.69	2.90	20.19
-6.23	38.34	1.14	2.91	18.45
-5.24	41.09	-1.31	2.38	15.40
-2.55	47.14	2.30	2.22	13.94
-3.47	47.60	6.83	2.49	10.68
-5.33	48.16	7.16	2.85	9.23
-10.62	46.86	2.34	3.46	11.74
-16.61	46.71	-0.47	3.66	14.24
-17.42	46.72	1.87	3.49	12.96
-17.22	44.68	2.30	3.14	10.03
-19.79	47.30	5.09	3.26	6.97
-24.13	51.44	2.94	3.77	5.68
-28.30	49.94	4.31	4.13	4.30
-28.87	48.66	9.21	4.08	4.02
-29.00	47.46	9.61	3.56	3.98
-31.28	45.94	9.34	3.12	4.55
-30.71	46.08	8.23	3.09	3.55
-31.17	45.77	6.33	3.33	2.17
-34.06	44.51	4.99	3.54	0.92
-38.36	45.24	5.98	3.63	1.09
-43.09	46.52	7.76	3.43	-1.91
-41.82	45.07	5.87	3.50	-2.54
-39.29	41.70	4.97	3.62	-4.38
-37.88	43.34	6.13	3.48	-3.47
-40.23	42.37	5.74	3.76	-4.33
-44.36	43.55	8.50	3.77	-2.44
-46.78	40.93	9.56	3.68	-3.22
-47.12	39.35	9.43	4.07	-4.59
-47.53	38.57	7.41	4.93	-5.73
-47.57	35.21	5.38	5.18	-7.23
-49.47	37.46	4.67	4.77	-7.69
-46.59	41.77	2.08	4.13	-10.73
-45.94	37.44	7.31	4.42	-8.03
-51.07	35.75	8.00	5.44	-7.18
-54.92	34.38	7.97	5.25	-8.81
-55.24	34.75	7.08	5.12	-6.84
-51.44	35.94	2.78	5.48	-9.46
-48.53	38.70	2.06	5.58	-8.98
-49.22	32.71	0.03	6.13	-9.63
-47.95	29.48	2.88	5.89	-8.00
-47.89	27.13	2.56	5.26	-7.81
-43.33	26.68	-0.02	5.59	-7.18
-30.44	35.65	-1.71	5.33	-9.69
-25.01	33.67	-1.40	5.19	-9.52
-22.32	31.87	-3.27	5.86	-8.99
-20.40	22.83	-4.52	5.48	-6.86
-18.83	24.53	-5.50	5.32	-7.50
-18.34	30.57	-5.37	6.32	-8.00
-22.58	34.09	-4.22	6.95	-9.41
-26.85	35.09	-3.78	7.56	-9.75
-25.28	25.90	-3.08	7.17	-6.83
-23.64	26.31	-2.79	7.89	-6.96
-22.85	28.27	-5.60	8.90	-4.33
-26.51	25.00	-7.28	9.43	-6.61
-33.91	25.60	-7.47	10.67	-7.17
-34.73	33.93	-8.48	11.64	-7.58
-32.83	34.95	-8.63	12.91	-8.09
-28.18	29.53	-8.08	13.32	-6.64
-25.29	27.36	-8.55	13.11	-3.52
-28.33	26.09	-9.64	13.36	-1.86
-28.96	27.49	-11.08	14.40	-3.66
-35.00	29.41	-11.11	17.80	-4.46
-38.88	34.70	-13.25	18.01	-4.14
-40.21	37.56	-14.67	17.58	-3.61
-36.67	42.85	-15.30	16.96	-2.71
-33.81	-43.88	-14.30	17.42	-1.06
-35.12	-189.89	-12.81	19.86	-0.59
-34.98	-296.47	-12.55	22.18	-1.27
-37.23	-278.69	-16.00	23.18	-1.92
-37.88	-155.38	-16.56	21.63	-2.30
-30.45	-61.29	-15.33	23.61	1.08
-26.24	-53.35	-14.48	24.23	1.60
-28.41	-105.43	-14.55	24.36	0.28
-32.18	-181.93	-16.11	23.88	1.20
-38.43	-234.86	-15.68	23.83	2.22
-38.78	-219.95	-16.76	23.63	4.57
-39.90	-187.94	-17.83	23.93	3.03
-44.86	-164.27	-18.31	24.34	2.81
-38.18	-177.07	-14.92	25.36	3.19
-33.34	-194.79	-14.71	24.10	4.46
-34.34	-213.12	-15.39	25.90	5.77
-42.30	-213.20	-16.39	22.89	4.91
-40.54	-198.03	-17.08	22.30	4.82
-38.41	-185.56	-15.22	24.43	4.84
-34.23	-180.78	-14.57	23.45	4.74
-26.45	-174.53	-12.97	22.46	4.69
-20.75	-182.77	-13.43	21.90	6.26
-23.87	-182.92	-13.60	22.75	7.83
-31.74	-176.01	-12.60	22.09	7.52
-33.30	-176.82	-10.51	21.57	5.90
-28.60	-183.90	-10.91	21.97	5.41
-24.82	-179.92	-11.23	20.53	5.28
-28.71	-167.19	-10.81	19.74	5.96
-27.53	-155.73	-2.78	20.39	7.48
-24.17	-158.38	-3.02	20.69	7.80
-22.44	-159.67	-3.66	20.39	7.78
-21.29	-148.64	-2.94	19.16	6.82
-21.22	-129.43	-2.16	19.16	6.81
-24.30	-120.74	-2.01	14.94	6.62
-22.55	-127.10	-2.00	12.73	6.40
-18.35	-128.81	-1.79	13.45	5.19
-17.06	-115.88	-1.96	14.55	5.32
-18.62	-104.28	-2.08	16.48	4.56
-9.04	-92.05	-2.25	14.04	5.25
-6.48	-79.66	-2.49	14.64	4.98
-4.28	-67.98	-1.39	13.27	7.03
-5.27	-59.45	-1.38	10.34	6.04
-4.57	-50.20	-1.79	9.97	3.95
-8.93	-36.87	-2.76	11.94	2.99
-7.13	-31.65	-2.66	12.76	2.87
2.15	-30.95	-3.16	11.90	3.47
5.10	-15.61	-2.83	11.72	2.93
8.07	-7.95	-2.49	6.79	2.33
-1.15	5.86	-2.01	8.78	0.66
-9.06	19.99	-2.55	10.84	0.91
-4.25	27.83	-3.29	6.80	0.35
4.00	32.91	-3.83	4.62	-0.43
9.53	39.22	-3.58	4.11	-0.41
13.76	49.52	-2.92	4.28	-0.64
13.44	60.88	-2.36	5.16	-0.20
5.84	73.12	-2.33	8.69	-0.19
0.22	77.23	-2.66	9.79	-0.60
4.21	75.90	-3.62	5.03	-0.44
10.92	81.15	-5.20	5.98	0.43
16.87	91.79	-5.48	5.67	-0.12
23.96	102.05	-5.64	5.11	-0.16
20.12	110.35	-5.36	2.78	0.24
16.30	112.64	-4.87	0.57	0.19
18.10	119.09	-5.52	3.21	-0.25
20.02	125.26	-5.84	7.24	-0.45
30.19	129.00	-5.80	7.17	0.12
17.77	127.95	-6.26	5.37	0.31
13.70	135.64	-5.01	2.40	0.22
14.74	140.52	-6.24	-0.27	-0.11
14.44	146.41	-7.66	3.32	0.51
14.88	149.23	-7.65	7.28	-0.02
23.09	150.42	-7.15	8.91	0.16
24.52	144.85	-6.64	8.13	-0.03
22.92	142.71	-6.90	5.82	0.56
23.35	142.40	-6.76	3.44	0.76
22.34	144.91	-7.53	3.79	0.26
27.87	147.08	-9.37	3.82	0.92
30.37	145.70	-9.75	7.25	0.43
30.30	124.64	-9.18	8.37	0.67
26.01	104.35	-11.55	11.29	-0.01
22.58	98.73	-13.10	12.99	0.65
17.51	96.27	-14.63	5.55	0.89
14.23	96.60	-13.94	2.19	0.20
16.23	94.27	-15.23	4.59	0.64
26.38	91.25	-16.90	10.77	0.93
36.69	89.47	-16.66	9.26	0.45
31.52	87.88	-16.54	7.50	0.76
27.34	85.77	-19.79	6.34	0.41
24.13	82.78	-20.69	8.66	0.66
21.18	79.36	-20.29	13.97	1.07
14.99	74.75	-20.99	16.11	0.33
15.43	71.93	-19.14	12.72	0.38
19.55	71.03	-17.80	8.03	0.75
29.48	68.67	-19.68	5.69	0.72
30.30	65.54	-24.07	7.06	1.20
27.55	59.48	-25.11	10.38	1.20
17.09	54.12	-21.38	9.31	0.56
11.39	50.05	-18.91	4.16	0.61
15.02	50.03	-15.69	13.93	0.57
18.63	48.43	-16.22	11.26	0.68
19.74	45.21	-18.52	12.55	0.90
16.77	42.07	-22.53	13.14	0.84
18.02	39.65	-25.64	18.77	1.04
16.77	35.56	-23.75	17.22	1.24
15.19	31.25	-22.78	18.48	1.02
18.41	26.71	-19.87	10.81	1.05
15.17	21.49	-18.23	12.72	0.62
20.64	19.07	-16.69	9.59	1.38
21.21	15.01	-16.46	11.79	1.10
24.77	8.65	-17.95	16.68	1.05
26.25	5.22	-21.42	13.56	1.37
21.24	4.74	-21.88	17.30	1.21
16.39	5.19	-20.04	11.97	0.87
6.79	5.05	-12.11	-12.45	0.96
6.17	3.40	-9.66	-47.84	1.09
9.77	0.02	-11.10	-76.56	1.10
7.92	-4.49	-12.50	-88.84	1.37
7.41	-8.21	-12.96	-89.43	1.42
7.19	-9.37	-13.87	-88.65	0.82
5.28	-10.05	-12.65	-95.63	0.81
5.16	-12.79	-11.96	-88.85	1.40
5.43	-15.86	-7.31	-82.31	1.13
5.57	-17.93	-5.16	-85.49	1.06
5.96	-20.42	-5.00	-91.36	1.52
7.51	-21.37	-9.13	-101.97	0.93
9.68	-19.47	-8.41	-108.11	0.84
9.96	-18.55	-7.10	-110.37	1.00
8.70	-18.94	-5.88	-109.16	1.57
6.75	-20.18	-3.96	-97.34	1.13
6.14	-19.82	-2.48	-90.74	1.10
8.44	-21.50	-1.77	-93.67	1.26
11.80	-24.38	0.86	-102.29	1.40
12.60	-27.47	1.93	-104.91	1.08
13.25	-28.67	2.00	-104.87	1.34
14.34	-27.79	2.91	-98.11	1.42
15.14	-26.58	2.88	-97.71	1.02
15.96	-25.20	2.18	-101.70	0.92
18.28	-22.13	4.77	-106.35	1.18
19.65	-22.16	4.76	-109.37	1.41
17.19	-26.04	1.15	-105.38	1.31
19.94	-30.58	4.97	-101.33	1.14
23.72	-31.48	9.21	-92.83	1.32
30.01	-25.98	10.37	-93.37	0.95
36.46	-22.53	8.49	-94.66	1.19
37.53	-21.45	5.44	-90.90	1.43
34.07	-21.01	3.96	-86.32	1.51
32.69	-20.21	6.33	-81.46	0.65
35.15	-18.97	6.22	-79.98	1.22
36.81	-18.18	6.97	-81.33	1.00
39.48	-16.36	6.51	-74.32	1.10
45.23	-11.81	5.80	-77.92	0.42
49.92	-8.34	7.15	-68.92	1.37
51.15	-6.10	10.61	-62.30	0.93
53.67	-5.31	9.88	-57.44	1.28
54.21	-7.25	8.11	-52.25	0.44
